# Site: https://kubernetes.recipes/
# Run Date: 2026-06-06T00:44:19.573Z
# Pages Crawled: 606
# Total Issues: 1915

issue_type,severity,category,url,evidence_summary,change_state,fix_recommendation,ownership
INTERNAL_PAGES_404_PAGE,Critical,INTERNAL_PAGES,https://kubernetes.recipes/recipes/troubleshooting/custom-ca-registry,HTTP 404 Not Found,unchanged,"Either restore the page content, set up a 301 redirect to a relevant page, or remove links pointing to this URL.",engineering
INTERNAL_PAGES_404_PAGE,Critical,INTERNAL_PAGES,https://kubernetes.recipes/recipes/configuration/kubernetes-resource-optimization,HTTP 404 Not Found,unchanged,"Either restore the page content, set up a 301 redirect to a relevant page, or remove links pointing to this URL.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/security/kyverno-policies,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/security/kyverno-policy-management,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/configuration/downward-api,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/configuration/downward-api-metadata,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/storage/velero-backup-restore,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/storage/velero-backup-disaster-recovery,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/observability/container-logging,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/observability/container-logging-patterns,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/configuration/kubernetes-jobs-cronjobs,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/deployments/jobs-cronjobs,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
CONTENT_INDEXABLE_H1_TAG_MISSING_OR_EMPTY,High,CONTENT,https://kubernetes.recipes/KubernetesRecipes-sample.pdf,Page is missing an H1 heading,unchanged,"Add a single, descriptive <h1> heading that summarizes the page content.",content
CONTENT_INDEXABLE_META_DESCRIPTION_TAG_MISSING_OR_EMPTY,High,CONTENT,https://kubernetes.recipes/KubernetesRecipes-sample.pdf,Page is missing a meta description,unchanged,Add a unique meta description (120-160 characters) that summarizes the page content.,content
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/observability/prometheus-monitoring,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/observability/prometheus-monitoring-setup,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
LINKS_INDEXABLE_PAGE_HAS_LINKS_TO_BROKEN_PAGE,High,LINKS,https://kubernetes.recipes/recipes/troubleshooting/imagepullbackoff-troubleshooting,1 link(s) point to broken page: https://kubernetes.recipes/recipes/troubleshooting/custom-ca-registry (404),changed,"Fix the target page, set up a redirect, or update the links to point to a valid page.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://kubernetes.recipes/KubernetesRecipes-sample.pdf,3 internal links point to this blocked page (robots.txt disallows /KubernetesRecipes-sample.pdf),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://kubernetes.recipes/recipes/configuration/downward-api,4 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://kubernetes.recipes/recipes/deployments/blue-green-deployments,4 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://kubernetes.recipes/recipes/observability/container-logging,4 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://kubernetes.recipes/recipes/observability/prometheus-monitoring,4 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://kubernetes.recipes/recipes/security/kyverno-policies,3 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_INTERNAL_LINK_TO_BLOCKED_PAGE,High,LINKS,https://kubernetes.recipes/recipes/storage/velero-backup-restore,3 internal links point to this blocked page (noindex directive),changed,"Either remove the blocking directive if the page should be indexed, or redirect internal links to an indexable alternative.",engineering
LINKS_INDEXABLE_PAGE_HAS_LINKS_TO_BROKEN_PAGE,High,LINKS,https://kubernetes.recipes/recipes/autoscaling/vertical-pod-autoscaler,1 link(s) point to broken page: https://kubernetes.recipes/recipes/configuration/kubernetes-resource-optimization (404),changed,"Fix the target page, set up a redirect, or update the links to point to a valid page.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://kubernetes.recipes/KubernetesRecipes-sample.pdf,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/autoscaling/keda-event-autoscaling,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/autoscaling/keda-event-driven-autoscaling,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/deployments/blue-green-deployments,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/deployments/blue-green-deployment,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://kubernetes.recipes/recipes/security/container-image-scanning,Page has non-self canonical pointing to: https://kubernetes.recipes/recipes/security/container-security-scanning,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
CONTENT_INDEXABLE_TITLE_TAG_MISSING_OR_EMPTY,High,CONTENT,https://kubernetes.recipes/KubernetesRecipes-sample.pdf,Page is missing a title tag,unchanged,"Add a unique, descriptive <title> tag to the page's <head> section.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/configuration/kubernetes-jobs-cronjobs,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/security/kyverno-policies,Low word count: 5 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/storage/velero-backup-restore,Low word count: 7 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/autoscaling/keda-event-autoscaling,Low word count: 5 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/deployments/blue-green-deployments,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/configuration/downward-api,Low word count: 6 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/observability/container-logging,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/autoscaling/keda-event-autoscaling,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/configuration/kubernetes-jobs-cronjobs,Low word count: 6 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/observability/prometheus-monitoring,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/deployments/blue-green-deployments,Low word count: 4 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/security/container-image-scanning,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/security/kyverno-policies,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/configuration/downward-api,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/observability/container-logging,Low word count: 5 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/storage/velero-backup-restore,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
